slug	url	file	status
node_apis	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/node_apis	html/node_apis.html	skipped
nodes	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/nodes	html/nodes.html	skipped
oauth_apis	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/oauth_apis	html/oauth_apis.html	skipped
observability_overview	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/observability_overview	html/observability_overview.html	skipped
openshift_lightspeed	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/openshift_lightspeed	html/openshift_lightspeed.html	skipped
openshift_sandboxed_containers	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/openshift_sandboxed_containers	html/openshift_sandboxed_containers.html	completed
operator_apis	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/operator_apis	html/operator_apis.html	completed
operatorhub_apis	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/operatorhub_apis	html/operatorhub_apis.html	completed
operators	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/operators	html/operators.html	skipped
overview	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/overview	html/overview.html	skipped
ovn-kubernetes_network_plugin	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/ovn-kubernetes_network_plugin	html/ovn-kubernetes_network_plugin.html	completed
pipelines	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/pipelines	html/pipelines.html	skipped
policy_apis	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/policy_apis	html/policy_apis.html	completed
postinstallation_configuration	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/postinstallation_configuration	html/postinstallation_configuration.html	completed
power_monitoring	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/power_monitoring	html/power_monitoring.html	completed
project_apis	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/project_apis	html/project_apis.html	completed
provisioning_apis	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/provisioning_apis	html/provisioning_apis.html	completed
rbac_apis	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/rbac_apis	html/rbac_apis.html	completed
red_hat_build_of_opentelemetry	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/red_hat_build_of_opentelemetry	html/red_hat_build_of_opentelemetry.html	completed
registry	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/registry	html/registry.html	skipped
release_notes	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/release_notes	html/release_notes.html	completed
role_apis	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/role_apis	html/role_apis.html	completed
scalability_and_performance	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/scalability_and_performance	html/scalability_and_performance.html	completed
schedule_and_quota_apis	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/schedule_and_quota_apis	html/schedule_and_quota_apis.html	completed
security_and_compliance	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/security_and_compliance	html/security_and_compliance.html	completed
security_apis	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/security_apis	html/security_apis.html	completed
serverless	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/serverless	html/serverless.html	skipped
service_mesh	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/service_mesh	html/service_mesh.html	completed
specialized_hardware_and_driver_enablement	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/specialized_hardware_and_driver_enablement	html/specialized_hardware_and_driver_enablement.html	completed
storage	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/storage	html/storage.html	skipped
storage_apis	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/storage_apis	html/storage_apis.html	completed
support	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/support	html/support.html	skipped
template_apis	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/template_apis	html/template_apis.html	completed
tutorials	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/tutorials	html/tutorials.html	skipped
updating_clusters	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/updating_clusters	html/updating_clusters.html	completed
user_and_group_apis	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/user_and_group_apis	html/user_and_group_apis.html	completed
validation_and_troubleshooting	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/validation_and_troubleshooting	html/validation_and_troubleshooting.html	completed
virtualization	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/virtualization	html/virtualization.html	skipped
virtualized_control_planes	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/virtualized_control_planes	html/virtualized_control_planes.html	completed
web_console	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/web_console	html/web_console.html	completed
windows_container_support_for_openshift	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/windows_container_support_for_openshift	html/windows_container_support_for_openshift.html	completed
workloads_apis	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/workloads_apis	html/workloads_apis.html	completed
